word,cat,pos,sentence_frame_before,sentence_frame_after,clarification,eng_freq,aoa_producing
After,time_words,adverb,, is not ,,682.59,>30
airplane,vehicles,noun,An , is not a ,,10.92,21
alligator,animals,noun,An , is not a ,,3.49,27
animal,animals,noun,An , is not a ,,45.49,25
ankle,body_parts,noun,An , is not a ,,8.02,>30
ant,animals,noun,An , is not a ,,5.35,26
apple,food_drink,noun,An , is not ,,23.67,19
Applesauce,food_drink,noun,, is not ,,0.59,26
arm,body_parts,noun,An , is not a ,,65.41,23
asleep,descriptive_words,adjective,To be , is not to be ,,49.82,25
aunt,people,noun,An , is not a ,,55.2,27
awake,descriptive_words,adjective,To be , is not to be ,,26.71,27
baby,people,noun,A , is not a ,,509.37,16
babysitter,people,noun,A , is not a ,,4.63,>30
backyard,outside,noun,A , is not a ,,7.24,28
bad,descriptive_words,adjective,To be , is not to be ,,545.18,26
ball,toys,noun,A , is not a ,,104.96,16
balloon,toys,noun,A , is not a ,,8.67,19
banana,food_drink,noun,A , is not a ,,10.73,16
basement,furniture_rooms,noun,A , is not a ,,21.06,>30
basket,household,noun,A , is not a ,,13.18,27
bat,toys,noun,A , is not a , (baseball) ,20.63,28
bath,games_routines,noun,A , is not a ,,31.12,19
bathroom,furniture_rooms,noun,A , is not a ,,61.67,24
bathtub,furniture_rooms,noun,A , is not a ,,6.1,23
beach,places,noun,A , is not a ,,56.63,27
Beads,clothing,noun,, are not ,,3.53,>30
Beans,food_drink,noun,, are not ,,14.43,26
bear,animals,noun,A , is not a ,,57.41,21
bed,furniture_rooms,noun,A , is not a ,,187.12,21
bedroom,furniture_rooms,noun,A , is not a ,,36.71,26
bee,animals,noun,A , is not a ,,10.35,23
Before,time_words,adverb,, is not ,,794.14,>30
belly button,body_parts,noun,A , is not a ,,0.65,21
belt,clothing,noun,A , is not a ,,24.35,28
bench,furniture_rooms,noun,A , is not a ,,9.67,>30
better,descriptive_words,adjective,To be , is not to be ,,794,28
bicycle,vehicles,noun,A , is not a ,,6.61,23
big,descriptive_words,adjective,To be , is not to be ,,682.82,23
bird,animals,noun,A , is not a ,,45.45,20
Biting,action_words,verb,, is not ,,4.9,23
black,descriptive_words,adjective,To be , is not to be ,,167.94,27
blanket,household,noun,A , is not a ,,12.98,22
block,toys,noun,A , is not a ,,40.53,23
Blowing,action_words,verb,, is not ,,18.06,25
blue,descriptive_words,adjective,To be , is not to be ,,102.39,23
boat,vehicles,noun,A , is not a ,,95.78,22
book,toys,noun,A , is not a ,,176.98,16
boot,clothing,noun,A , is not a ,,11.14,23
bottle,household,noun,A , is not a ,,50.75,21
bowl,household,noun,A , is not a ,,21.45,23
box,household,noun,A , is not a ,,89.75,23
boy,people,noun,A , is not a ,,529.82,25
Bread,food_drink,noun,, is not ,,28.33,23
Breakfast,games_routines,noun,, is not ,,66.29,25
Breaking,action_words,verb,, is not ,,42.25,26
Bringing,action_words,verb,, is not ,,44.75,28
broken,descriptive_words,adjective,To be , is not to be ,,71.25,24
